,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
SEC31B,644,588,570,393,1388,5043,1476,3278,2386,6242,2495,3102,2132,3563,3372,2603
NDUFB8,3171,1101,1161,972,5398,4232,1455,2636,7340,4791,3606,4647,6731,5336,5024,3723
HIF1AN,2929,1672,1617,1348,4307,6470,2075,3884,6537,6272,3582,5688,6189,6964,5990,5418
PAX2,0,6,0,6,4,2,0,2,2,8,14,53,3,6,0,12
SLF2,1797,1091,1077,853,3108,3610,1474,2052,3302,3912,1524,2880,3695,3931,3169,3662
MRPL43,1145,506,653,440,1594,1814,793,1118,2067,2059,2209,2060,2095,2100,2337,1588
SEMA4G,270,191,221,171,188,388,182,286,209,436,242,196,221,369,359,253
TWNK,1900,407,294,298,3306,1381,464,820,3999,1650,859,1624,3720,1906,1197,1243
LZTS2,707,560,580,484,1047,2236,786,1447,1136,2516,1171,1780,1795,2138,2263,2386
PDZD7,13,38,49,23,42,103,73,96,41,121,82,63,71,115,147,95
SFXN3,1076,1038,2042,1140,1167,4493,2607,3254,2157,3630,2856,2736,2374,3244,7581,6027
KAZALD1,0,12,0,4,2,0,16,2,1,0,6,0,4,6,8,0
TLX1NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLX1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
LINC01514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBX1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LBX1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTRC,992,472,448,428,1372,1781,657,973,1743,1660,888,1270,1605,1727,1545,1470
DPCD,243,94,86,99,310,294,146,176,352,306,218,233,436,356,346,291
POLL,729,381,493,441,1023,2105,606,1117,1493,1957,1247,1608,1854,2180,2053,1872
FBXW4,1186,809,620,653,1659,2979,768,1789,2207,2963,1529,2832,2540,3153,2789,2890
FGF8,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,2
NPM3,1747,173,124,114,3746,780,159,319,3515,782,815,721,4152,1117,726,638
OGA,5271,4607,4659,3678,7979,17277,6071,11126,10622,17774,6931,12192,11232,16288,14299,15722
KCNIP2-AS1,58,27,21,47,42,26,75,36,20,54,24,17,12,26,27,19
KCNIP2,103,89,61,108,107,115,155,134,49,172,97,97,54,73,134,131
ARMH3,1194,666,723,789,1973,2067,925,1690,2670,2412,1301,2996,2433,2498,2898,4198
HPS6,1132,556,712,916,1776,2066,871,1990,2855,2130,1685,3621,2962,2368,2877,5801
LDB1,3187,2283,2988,1650,4615,9677,3728,5456,5760,9266,5631,5554,6848,9424,10295,7165
PPRC1,5978,1208,1068,928,9200,5129,1193,3121,13443,7507,2340,5684,13087,7349,5024,5689
NOLC1,18009,2345,1776,1973,29918,9274,2341,5554,32652,10908,3882,9745,34258,14286,7383,9572
ELOVL3,0,0,4,26,2,0,0,14,0,3,0,24,4,2,2,109
PITX3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1
GBF1,4020,2088,2145,1953,5721,6793,2334,4532,10126,9289,3661,7416,8743,9354,7834,8064
NFKB2,13850,8036,3680,4547,20826,29363,2861,11456,33420,31795,12200,23259,30073,48489,28338,27122
PSD,1239,740,529,758,999,746,616,588,716,889,1065,636,716,857,755,564
FBXL15,434,317,432,285,681,1037,519,662,896,1132,1150,1172,957,1045,1236,960
CUEDC2,1152,515,621,510,1654,1934,737,996,2266,1854,1375,1822,2306,2046,2330,1648
C10orf95-AS1,526,407,360,332,840,2002,593,1149,709,1389,964,980,1126,1469,1181,1147
C10orf95,143,120,75,90,245,548,178,366,211,383,285,287,374,413,272,331
MFSD13A,350,215,297,188,456,732,254,340,691,748,462,447,574,774,864,703
ACTR1A,3478,1948,2109,2082,5619,6305,2584,3863,8380,6431,4697,7439,7456,7716,8526,8191
SUFU,615,327,590,380,1014,1480,778,821,1408,1702,1022,1399,1410,1478,2034,1843
TRIM8,2032,1291,2235,1370,2556,4165,2471,2912,3475,4503,3456,3686,3388,5051,7237,6265
TRIM8-DT,140,99,197,82,164,269,269,239,243,339,285,338,218,400,621,537
ARL3,296,267,239,124,493,631,296,270,470,453,482,242,404,513,677,368
SFXN2,634,152,150,113,1152,584,268,364,1516,814,438,601,1372,765,506,446
WBP1L,1567,1104,2068,1116,2245,4916,2284,2380,3435,4354,3223,4731,3259,4901,6793,4567
CYP17A1,1,6,2,0,0,27,8,7,8,10,10,13,3,10,12,19
BORCS7,532,316,324,378,666,824,458,612,779,618,441,857,957,1265,1232,1046
AS3MT,31,45,34,34,15,72,21,72,15,109,52,52,59,65,123,47
CNNM2,1530,784,1137,1150,2095,3128,1354,2055,3376,3106,2196,3253,2839,3455,3847,5975
NT5C2,2665,1110,1621,1918,3264,4475,1940,3213,5661,4394,3010,5411,4819,5190,5886,10584
RPEL1,6,2,0,12,12,4,0,2,6,5,4,4,6,9,0,0
INA,228,134,84,206,124,15,150,50,30,34,98,47,35,6,12,44
PCGF6,280,118,117,96,552,470,132,190,550,318,171,297,615,463,321,330
TAF5,409,183,225,138,833,728,271,461,930,694,383,627,920,764,690,643
ATP5MK,1752,584,578,595,2787,1562,724,947,3550,1456,1444,2359,3453,2401,2127,1997
PDCD11,5666,1329,1255,989,10680,5723,1490,2952,12720,6142,2325,4630,12667,6682,4279,4914
CALHM2,447,373,1366,369,563,1943,1756,1134,1036,1802,1539,1405,1131,1604,4948,2598
CALHM1,2,0,0,2,0,0,0,0,0,2,6,0,8,10,16,4
CALHM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6
NEURL1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEURL1,261,180,66,252,229,72,145,155,178,156,175,140,180,102,99,74
SH3PXD2A,881,941,841,486,1074,4413,1021,2070,1469,5576,2012,2346,1886,3531,2572,2207
SH3PXD2A-AS1,4,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0
STN1,1100,604,495,579,1512,2159,592,1275,1983,3275,1520,3348,2114,2116,1746,1792
SLK,3461,1739,2067,1689,4885,5700,2171,2993,6516,5529,2280,5287,6175,5590,5430,6027
COL17A1,12,6,0,0,0,2,0,0,2,20,6,18,5,15,12,7
SFR1,253,119,108,90,405,336,125,250,522,332,320,479,541,485,425,463
CFAP43,7,17,0,2,6,9,0,6,2,14,0,4,8,30,14,31
GSTO1,2235,1336,1431,1835,2754,1831,977,1956,5734,2332,4830,6523,5313,3753,5193,7809
GSTO2,35,15,19,22,26,49,19,25,37,53,68,46,31,51,45,31
ITPRIP,1780,1097,829,806,2393,3365,1077,1987,3847,3368,2453,4773,3759,4157,3897,3877
ITPRIP-AS1,5,0,2,0,1,1,0,0,2,11,4,0,1,2,7,2
CFAP58-DT,11,4,1,2,12,4,0,21,15,20,26,47,18,26,38,15
CFAP58,2,2,2,0,6,10,12,2,8,18,4,4,10,15,24,10
LINC02620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SORCS3,46,48,26,96,56,16,46,18,2,10,36,4,2,10,6,2
SORCS3-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02627,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LINC02624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SORCS1,32,28,16,14,24,8,18,42,6,18,16,10,2,6,8,6
LINC01435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XPNPEP1,1796,767,1003,776,2657,2584,990,1875,3983,2815,1688,3618,4188,3294,3171,3291
ADD3-AS1,67,62,114,72,130,388,167,289,141,296,169,295,142,250,231,293
ADD3,2302,1951,2822,2110,3457,9145,4634,6214,4035,7790,4202,7196,4795,7520,7054,7827
MXI1,801,728,690,566,962,3496,1123,1491,1018,2620,1579,2121,1130,2754,2629,1914
SMNDC1,1391,618,550,557,2074,2567,607,1220,2801,1817,961,1995,2908,2741,2293,2355
DUSP5-DT,23,21,0,37,4,16,0,35,39,50,46,180,16,80,22,120
DUSP5,4141,3196,229,2751,5786,3769,224,4195,13153,9642,2738,18931,7372,12319,3472,11220
SMC3,3762,1581,1472,1302,6840,6263,1905,2995,7423,4938,2271,4014,8131,5921,4843,4772
RBM20,4,14,0,0,8,28,28,20,0,22,4,2,18,27,20,14
PDCD4-AS1,152,152,212,81,165,658,222,427,293,951,559,665,289,703,644,564
PDCD4,3805,5120,4513,3808,4779,19295,5278,10023,6090,18931,10613,14986,7646,19000,15354,15391
BBIP1,855,808,785,576,1163,2694,959,1575,1607,3666,1895,2420,1570,3046,2342,2335
SHOC2,1964,1222,1094,1326,3096,3745,1323,2339,4122,3174,1637,4001,3866,4796,3863,5352
ADRA2A,36,12,18,44,28,6,16,28,0,2,10,6,10,6,10,8
GPAM,437,158,278,158,949,606,237,316,774,649,242,382,895,706,522,436
TECTB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSL5,3019,2083,1195,1661,4533,6154,1449,3665,7198,6334,3380,6779,8254,7846,6325,6915
ZDHHC6,1478,951,1031,822,2668,3181,1057,2272,3412,3033,1757,2982,3722,3564,3389,3381
VTI1A,1303,668,709,543,1963,2126,823,1373,2576,2146,1020,2165,2472,2613,2132,2175
LINC02935,0,0,5,0,1,13,0,0,2,5,0,6,2,2,5,7
TCF7L2,178,126,217,141,105,255,154,366,255,365,430,397,302,503,613,558
HABP2,6,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2
NRAP,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
CASP7,1235,500,379,939,1888,1991,481,1868,4696,2673,1322,5980,2741,1881,1616,3590
PLEKHS1,0,0,0,0,8,8,2,16,19,8,2,4,39,11,10,18
DCLRE1A,475,138,201,130,984,581,173,383,1082,608,264,513,1210,697,513,503
NHLRC2,881,578,595,404,1325,1747,813,1241,1955,2062,868,1587,1853,2194,1592,1811
ADRB1,4,28,24,32,80,52,62,68,8,28,8,12,16,22,18,30
CCDC186,1260,1007,1063,762,1869,4019,1293,2180,2595,3473,1272,2814,2483,3661,2973,3290
TDRD1,8,0,0,0,36,11,6,4,14,8,0,22,47,22,4,8
VWA2,4,0,0,0,4,0,0,2,0,2,0,2,0,3,4,4
AFAP1L2,66,44,48,54,112,201,88,144,192,203,86,153,102,182,160,50
ABLIM1,5759,5478,6200,3753,7291,20402,6445,9615,9572,22971,9928,14428,13818,24656,19283,18030
FHIP2A,1173,671,813,732,1562,2424,816,1312,2515,2419,1160,1833,2207,2575,2028,3046
TRUB1,586,168,191,178,1196,866,248,382,1529,789,376,705,1687,1006,694,740
LINC02626,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0
ATRNL1,110,56,32,100,56,10,28,42,8,23,44,18,4,14,16,4
GFRA1,48,28,14,6,8,4,8,18,0,0,18,8,4,8,4,6
CCDC172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNLIPRP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNLIP,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
PNLIPRP1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0
C10orf82,4,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0
HSPA12A-AS1,0,0,0,0,0,0,0,3,0,0,2,0,0,2,4,0
HSPA12A,94,64,70,78,140,69,72,100,54,120,94,66,90,105,141,134
ENO4,2,1,2,0,0,3,10,1,3,9,22,1,4,6,5,10
SHTN1,218,287,794,416,136,328,724,546,552,777,709,951,455,885,2540,2429
VAX1,6,0,4,2,0,0,0,4,0,4,0,0,0,0,0,0
MIR3663HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC18A2-AS1,2,0,0,0,0,0,8,1,0,6,6,2,2,5,6,4
SLC18A2,73,47,72,33,132,172,121,120,145,287,163,155,104,139,152,120
PDZD8,1198,622,686,430,1644,2080,848,953,1948,1701,792,1277,1791,1741,1602,1332
EMX2OS,2,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0
EMX2,28,8,0,6,0,4,12,2,2,10,5,0,0,0,2,0
LINC02674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB11FIP2,726,399,430,366,864,1386,600,968,1270,1250,621,1243,1294,1409,1326,1287
CASC2,110,36,58,37,117,185,75,122,193,137,62,204,159,170,179,168
LINC02944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM204A,1043,525,609,523,1404,2034,686,929,1847,1632,927,1424,2030,2187,2005,1760
LINC00867,99,45,55,55,125,202,50,74,211,188,94,169,173,208,293,161
PRLHR,0,4,0,4,0,0,0,0,0,0,0,0,0,0,2,0
CACUL1,1289,810,1014,634,2399,2433,1152,1581,3391,2442,1562,2427,2961,2922,3371,3596
LINC03036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NANOS1,14,6,2,11,18,7,7,5,33,15,14,28,56,32,36,28
EIF3A,17757,5242,5914,3616,28604,18444,6919,9566,33315,19978,7996,13855,32487,22461,20723,18520
DENND10,273,177,178,153,494,514,337,403,720,563,471,520,531,625,899,470
SFXN4,1083,161,141,161,1554,311,107,165,1995,596,244,489,1762,505,388,274
PRDX3,2847,799,1075,918,6257,2267,1412,1200,7500,2421,2181,3128,7088,3563,3749,2645
GRK5,1421,1235,968,990,1548,4567,973,2987,2166,4702,2168,4071,3327,5224,4094,4785
GRK5-IT1,0,4,2,0,0,0,0,0,5,2,1,1,0,5,2,4
RGS10,3409,975,2124,1243,3866,4793,2081,2402,4410,4123,4104,4506,7244,5231,6392,4945
TIAL1,3863,1948,1994,1637,6375,7652,2892,4572,8033,7230,4190,5651,8002,7218,7018,6003
BAG3,1153,463,656,445,1181,1472,566,943,1987,1848,1351,1677,3582,4267,4326,4086
INPP5F,826,385,477,396,870,1108,385,752,900,979,590,841,1978,1513,1288,1764
MCMBP,4616,1175,1571,1343,8799,4435,2003,2701,11013,4396,2930,5292,10906,5765,5959,6274
SEC23IP,2317,832,1002,915,3970,3136,1291,2084,5048,3767,1581,3698,5257,4319,3864,4418
PLPP4,12,6,4,4,2,2,8,12,0,0,0,0,0,0,0,2
LINC01561,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02930,1,2,8,3,2,0,27,0,2,17,1,6,5,4,32,7
WDR11-DT,24,10,61,14,42,59,58,52,75,84,34,73,76,127,142,91
WDR11,1957,1248,2074,961,2858,5309,3024,2822,4358,5215,2897,3819,4265,6162,7343,4779
LINC01153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFR2,64,80,46,100,110,46,105,58,12,52,59,34,8,12,10,24
ATE1,1168,480,611,444,1851,1943,595,885,2255,1594,828,1263,2161,1888,1725,1531
NSMCE4A,1828,711,814,767,3157,2723,1045,2080,3872,3213,1642,2792,3492,3291,2606,2552
TACC2,90,34,45,50,52,6,26,30,14,26,15,22,0,8,8,4
BTBD16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHA1,1003,725,993,545,1435,2806,1677,1257,1359,2507,1359,1585,1461,2373,2243,1991
ARMS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
HTRA1,138,112,368,128,84,20,244,52,14,28,114,36,24,12,1757,170
DMBT1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C10orf120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUZD1,49,37,25,9,67,156,51,105,55,86,76,115,99,121,117,92
FAM24B,69,50,61,49,113,316,63,162,114,158,157,177,176,277,226,198
FAM24A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C10orf88,367,183,148,126,539,585,175,308,779,466,318,397,657,564,478,469
PSTK,155,71,116,54,233,324,120,252,314,353,178,212,303,382,310,289
IKZF5,1127,612,652,535,1504,2137,780,1282,1950,2159,961,1756,2025,2598,2183,2409
ACADSB,819,404,638,260,1409,1851,889,949,1701,2199,1005,1265,1532,1888,1580,1259
HMX3,4,4,0,0,2,8,0,0,6,10,0,4,10,22,9,6
HMX2,0,14,0,0,0,4,4,0,0,4,4,2,0,0,2,4
BUB3,3735,1495,1679,1553,7430,6105,2082,3465,8296,5865,3237,5739,8347,6816,5456,5328
LINC02641,4,8,8,2,3,18,6,2,2,29,2,19,9,16,4,6
GPR26,20,32,14,12,6,8,12,20,0,2,12,18,0,2,2,2
CPXM2,16,6,0,4,10,0,2,2,0,0,9,6,2,0,4,0
CHST15,276,339,411,195,335,466,335,209,973,944,1199,365,680,2205,2588,1230
OAT,1306,394,485,338,2247,1385,627,710,2623,1419,938,1294,2342,1369,1257,1075
NKX1-2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LHPP,362,217,387,201,429,1327,456,630,640,1311,824,1042,750,967,1276,938
FAM53B,3660,3033,3377,2484,4571,14121,3767,6134,5956,9280,4835,8114,6860,11047,9378,8808
FAM53B-AS1,0,1,0,0,4,6,0,0,0,7,0,10,2,0,2,1
EEF1AKMT2,521,306,218,193,779,812,302,448,907,627,477,660,916,936,709,751
ABRAXAS2,1200,535,500,591,1852,1560,580,946,2562,1499,843,2135,2306,2259,1950,1905
ZRANB1,1287,902,963,906,1961,3583,1149,1789,2426,2926,1692,2515,2428,3869,3328,3057
CTBP2,1087,867,1152,956,1684,2308,1250,1651,2383,2231,1873,2677,1716,2719,3589,3277
TEX36-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDRF1-DT,7,15,29,0,21,55,20,18,30,33,26,29,34,27,45,32
EDRF1,898,773,656,570,1496,2292,893,1492,2066,2405,977,1779,2010,2484,1884,1971
EDRF1-AS1,155,108,125,71,226,422,163,259,379,423,179,306,355,409,365,300
MMP21,57,39,17,27,71,106,34,96,115,193,40,95,103,144,120,97
UROS,1027,388,516,230,1442,1269,435,688,2036,1432,988,1271,2058,1567,1546,1053
BCCIP,2703,633,663,549,5827,2348,695,1137,5360,2077,1183,1844,5650,2878,2142,2106
DHX32,513,233,194,131,1148,922,441,461,1007,611,518,604,1092,1018,1026,764
FANK1,6,1,8,0,5,53,10,28,13,49,29,30,8,27,36,1
FANK1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
